
                       be used for evaluation purposes
                                                            16-Dec-2016 14:33
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: Aktivierungs-Probe.Chn           
 Sample Title : Messung Nd35 Kalibrierung Aufsatz unten          

 Spectrum saved on 16-Dec-2016 at 14:32    Collected on  9-Dec-2016 at 18:02
 Sample  Taken  on  9-Dec-2016 at 18:02    Decayed      0 Days,     0 mins.

            Calibration stored in the Spectral data file was used     
            Energy     Calibration Performed on  9-Dec-2016 at 18:02
            Peak Shape Calibration Performed on  9-Dec-2016 at 18:02

 

   Reported Activity values were rounded     
   The Pulser Peak was calibrated on             at  0:00
   FitzPeaks Version: 3.66 26th April 2011             

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

The Peak at Channel 165 was dropped, too near LLD Step

   42.2   252.4   0.73     3.5    0.79      1455   49.7   2.5296e-03   49.7    27910
   67.2   392.9   0.76     5.4    1.34      2192   24.8   3.8103e-03   24.8    23758
   72.5   422.8   0.78    23.6    1.16     11895    4.4   2.0675e-02    4.4    23094
   74.9   436.2   0.78     8.2    1.16      4256   12.1   7.3974e-03   12.1    23094
   42.2   252.4   0.73     3.5    0.79      1455   49.7   2.5296e-03   49.7    27910
   67.2   392.9   0.76     5.4    1.34      2192   24.8   3.8103e-03   24.8    23758
   72.5   422.8   0.78    23.6    1.16     11896    4.4   2.0675e-02    4.4    23094
   74.9   436.2   0.78     8.2    1.16      4256   12.1   7.3971e-03   12.1    23094
   84.7   491.1   0.78     3.8    1.74      2253   20.8   3.9155e-03   20.8    22261
   87.4   506.5   0.78     3.5    1.74       929   49.0   1.6149e-03   49.0    25044
   92.7   535.9   0.79     5.1    0.94      1504   32.8   2.6146e-03   32.8    21789
  146.4   837.6   0.84     7.6    0.98      2964   16.6   5.1509e-03   16.6    25387
  165.9   947.1   0.86     7.0    1.18      3033   18.6   5.2718e-03   18.6    32191
  185.6  1058.0   0.88     4.0    1.23      1463   37.6   2.5430e-03   37.6    33164
  238.7  1356.1   0.94     4.8    1.30      1741   29.8   3.0256e-03   29.8    26451
  295.2  1673.3   0.99     3.8    0.91      1482   31.8   2.5752e-03   31.8    25600
  301.8  1710.5   1.00     4.5    0.93      1359   34.5   2.3622e-03   34.5    24695
  351.9  1991.9   1.05     5.9    0.78      2197   18.9   3.8188e-03   18.9    19652
  434.0  2452.9   1.12     3.9    0.82      1424   31.2   2.4744e-03   31.2    21251
  453.8  2564.2   1.13   223.2    1.61    390912    0.3   6.7944e-01    0.3    18582
  476.8  2693.1   1.15   146.6    1.22    179487    0.6   3.1196e-01    0.6    17010
  510.8  2884.3   2.38     3.6    0.80      5428   13.8   9.4347e-03   13.8    31788
  582.9  3288.9   1.25     4.2    0.72      1247   23.8   2.1682e-03   23.8     8453
  589.5  3325.9   1.25    12.4    0.96      3149    9.5   5.4725e-03    9.5     7815
  609.2  3436.9   1.26     8.4    1.71      1782   15.8   3.0969e-03   15.8     6456
  614.4  3465.9   1.27     3.7    1.71       961   28.2   1.6701e-03   28.2     6456
  618.0  3486.2   1.27   205.0    1.71    335836    0.4   5.8371e-01    0.4     6456
  633.1  3570.9   1.33    27.8    0.83      9533    3.2   1.6569e-02    3.2     4798
  696.5  3926.9   1.33   199.3    0.93    303163    0.3   5.2692e-01    0.3     4627
  722.9  4075.5   1.36     3.9    1.13       593   29.5   1.0301e-03   29.5     2565
  735.8  4147.7   1.36   105.7    1.59     88226    0.6   1.5334e-01    0.6     2133
  742.1  4183.0   1.36   156.7    1.59    193190    0.4   3.3578e-01    0.4     2133
  747.1  4211.4   1.37   131.5    1.59    138494    0.5   2.4071e-01    0.5     2133
  778.5  4387.8   1.39    21.8    1.17      4283    4.3   7.4448e-03    4.3     1118
  814.1  4587.6   1.38    10.9    0.99      1474    8.7   2.5621e-03    8.7     1022
  911.1  5132.5   1.50     6.4    0.78       631   18.2   1.0970e-03   18.2      954
  968.8  5456.5   1.54     4.6    1.08       283   39.8   4.9152e-04   39.8      891
 1094.7  6163.8   1.51    10.5    1.49      1149    9.9   1.9975e-03    9.9      645
 1120.2  6306.7   1.63     5.9    0.87       550   18.1   9.5527e-04   18.1      708
 1173.1  6604.3   1.73    10.4    0.68      1324    8.5   2.3011e-03    8.5      619
 1189.6  6696.5   1.67     6.9    0.79       662   14.4   1.1508e-03   14.4      551
 1237.9  6967.8   1.69     4.1    0.75       202   43.1   3.5069e-04   43.1      550
 1314.3  7397.1   1.72    16.0    1.23      2067    5.6   3.5925e-03    5.6      402
 1332.2  7497.8   1.74     4.9    0.69       382   19.6   6.6341e-04   19.6      356
 1460.5  8218.7   1.83    24.9    0.98      5487    2.9   9.5365e-03    2.9      277
 1587.9  8933.9   1.85     4.5    0.93       152   36.1   2.6399e-04   36.1      192
 1592.1  8957.6   1.85     3.7    0.93       147   37.7   2.5605e-04   37.7      202
 1764.0  9923.2   1.90     7.2    1.24       617   11.9   1.0720e-03   11.9      165
 1846.4 10386.1   1.92     3.6    0.99        83   56.3   1.4364e-04   56.3      147
 2203.4 12391.9   1.98     3.7    1.17       150   31.6   2.6096e-04   31.6      117
 2612.3 14689.7   1.97     6.2    1.05       490   13.1   8.5163e-04   13.1       66
 2613.7 14697.5   1.97     9.2    1.05       857    8.3   1.4897e-03    8.3       63
